Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
BLR  1998     1.505     0.835     0.512     0.111     0.028     0.019
BLR  1999     1.583     0.858     0.556     0.118     0.029     0.022
BLR  2000     1.572     0.843     0.573     0.105     0.028     0.022
BLR  2001     1.521     0.836     0.528     0.109     0.029     0.019
BLR  2002     1.501     0.860     0.489     0.102     0.030     0.019
BLR  2003     1.465     0.837     0.478     0.095     0.033     0.022
BLR  2004     1.500     0.870     0.482     0.105     0.026     0.017
BLR  2005     1.458     0.829     0.479     0.108     0.025     0.016
BLR  2006     1.549     0.852     0.520     0.131     0.030     0.015
BLR  2007     1.675     0.891     0.585     0.144     0.034     0.021
BLR  2008     1.739     0.917     0.609     0.155     0.035     0.024
BLR  2009     1.788     0.996     0.602     0.136     0.034     0.021
BLR  2010     1.684     0.938     0.570     0.128     0.030     0.018
BLR  2011     1.621     0.841     0.589     0.146     0.028     0.016
BLR  2012     1.753     0.888     0.649     0.161     0.036     0.019
BLR  2013     1.860     0.903     0.704     0.186     0.045     0.022
BLR  2014     1.912     0.977     0.689     0.187     0.042     0.018
BLR  2015     1.915     0.968     0.671     0.209     0.046     0.021
BGR  1948     2.604     0.860     0.730     0.406     0.229     0.380
BGR  1949     2.763     0.880     0.816     0.427     0.250     0.390
BGR  1950     2.822     0.944     0.830     0.430     0.247     0.372
BGR  1951     2.173     0.812     0.606     0.324     0.175     0.256
BGR  1952     2.348     0.810     0.690     0.351     0.217     0.281
BGR  1953     2.435     0.848     0.761     0.354     0.203     0.269
BGR  1954     2.266     0.903     0.680     0.297     0.162     0.223
BGR  1955     2.246     0.972     0.651     0.261     0.139     0.223
BGR  1956     2.129     0.941     0.654     0.222     0.125     0.188
BGR  1957     2.098     0.943     0.678     0.199     0.105     0.172
BGR  1958     2.110     0.884     0.724     0.214     0.102     0.186
BGR  1959     2.044     0.916     0.696     0.191     0.098     0.143
BGR  1960     2.233     1.004     0.790     0.218     0.093     0.128
BGR  1961     2.283     0.996     0.834     0.228     0.084     0.141
BGR  1962     2.199     0.962     0.816     0.209     0.087     0.125
BGR  1963     2.137     0.956     0.786     0.197     0.084     0.115
BGR  1964     2.117     1.003     0.752     0.188     0.075     0.100
BGR  1965     2.009     0.935     0.735     0.173     0.076     0.089
BGR  1966     1.956     0.902     0.707     0.173     0.079     0.095
BGR  1967     1.988     0.915     0.691     0.198     0.080     0.104
BGR  1968     2.330     0.964     0.868     0.323     0.081     0.093
BGR  1969     2.304     0.982     0.893     0.289     0.064     0.076
BGR  1970     2.099     0.966     0.764     0.241     0.060     0.068
BGR  1971     2.047     0.983     0.738     0.193     0.074     0.060
BGR  1972     1.976     0.956     0.735     0.167     0.064     0.054
BGR  1973     2.104     0.961     0.825     0.202     0.059     0.056
BGR  1974     2.267     0.962     0.980     0.206     0.064     0.054
BGR  1975     2.103     0.954     0.850     0.180     0.064     0.056
BGR  1976     2.062     0.963     0.799     0.189     0.059     0.052
BGR  1977     2.058     0.995     0.782     0.184     0.055     0.042
BGR  1978     2.022     0.994     0.759     0.169     0.051     0.049
BGR  1979     2.029     0.975     0.757     0.195     0.051     0.051
BGR  1980     2.062     1.040     0.737     0.195     0.048     0.042
BGR  1981     1.967     0.959     0.729     0.182     0.053     0.045
BGR  1982     1.943     0.897     0.769     0.180     0.057     0.041
BGR  1983     2.043     0.941     0.829     0.184     0.051     0.037
BGR  1984     2.011     0.922     0.817     0.177     0.053     0.041
BGR  1985     2.040     0.948     0.802     0.181     0.061     0.047
BGR  1986     2.100     1.015     0.803     0.193     0.048     0.041
BGR  1987     1.959     0.950     0.769     0.162     0.040     0.037
BGR  1988     1.988     0.931     0.810     0.156     0.046     0.044
BGR  1989     1.948     0.936     0.752     0.171     0.050     0.039
BGR  1990     1.724     0.841     0.634     0.165     0.049     0.035
BGR  1991     1.616     0.836     0.547     0.148     0.043     0.043
BGR  1992     1.651     0.925     0.531     0.119     0.039     0.037
BGR  1993     1.634     0.912     0.557     0.093     0.039     0.033
BGR  1994     1.643     0.888     0.575     0.101     0.040     0.038
BGR  1995     1.521     0.822     0.522     0.109     0.035     0.034
BGR  1996     1.602     0.844     0.563     0.119     0.035     0.041
BGR  1997     1.417     0.796     0.480     0.081     0.031     0.030
BGR  1998     1.271     0.753     0.406     0.062     0.025     0.024
BGR  1999     1.626     1.013     0.447     0.096     0.037     0.034
BGR  2000     1.812     1.175     0.462     0.092     0.045     0.037
BGR  2001     1.452     0.888     0.419     0.078     0.031     0.036
BGR  2002     1.543     0.911     0.488     0.086     0.026     0.032
BGR  2003     1.577     0.945     0.472     0.097     0.028     0.034
BGR  2004     1.729     0.981     0.577     0.111     0.029     0.032
BGR  2005     1.785     1.066     0.572     0.091     0.028     0.027
BGR  2006     1.696     1.002     0.541     0.092     0.033     0.029
BGR  2007     1.727     0.862     0.685     0.108     0.038     0.034
BGR  2008     1.638     0.907     0.572     0.100     0.027     0.033
CAN  1945     2.874     0.778     0.670     0.465     0.282     0.679
CAN  1946     3.076     0.912     0.707     0.482     0.307     0.668
CAN  1947     3.123     0.999     0.699     0.484     0.313     0.628
CAN  1948     2.981     0.887     0.718     0.470     0.302     0.604
CAN  1949     3.117     0.861     0.839     0.502     0.316     0.599
CAN  1950     3.167     0.846     0.813     0.557     0.328     0.623
CAN  1951     3.214     0.878     0.791     0.583     0.340     0.622
CAN  1952     3.347     0.954     0.780     0.607     0.378     0.627
CAN  1953     3.442     0.974     0.785     0.597     0.405     0.680
CAN  1954     3.546     1.003     0.808     0.599     0.405     0.731
CAN  1955     3.490     0.990     0.811     0.592     0.396     0.701
CAN  1956     3.488     0.940     0.838     0.605     0.396     0.710
CAN  1957     3.599     0.989     0.846     0.644     0.407     0.712
CAN  1958     3.540     0.993     0.810     0.616     0.417     0.704
CAN  1959     3.610     0.977     0.844     0.620     0.427     0.742
CAN  1960     3.607     0.956     0.857     0.643     0.417     0.734
CAN  1961     3.588     0.940     0.859     0.645     0.423     0.720
CAN  1962     3.647     0.921     0.880     0.657     0.443     0.747
CAN  1963     3.986     0.931     0.919     0.755     0.523     0.857
CAN  1964     4.103     0.916     0.951     0.816     0.552     0.868
CAN  1965     3.652     0.860     0.843     0.714     0.484     0.752
CAN  1966     3.115     0.879     0.720     0.548     0.381     0.588
CAN  1967     2.782     0.900     0.678     0.460     0.290     0.454
CAN  1968     2.652     0.916     0.704     0.433     0.249     0.350
CAN  1969     2.554     0.897     0.698     0.400     0.240     0.319
CAN  1970     2.436     0.907     0.687     0.371     0.191     0.279
CAN  1971     2.362     0.917     0.685     0.357     0.167     0.236
CAN  1972     2.211     0.868     0.674     0.320     0.159     0.190
CAN  1973     2.099     0.873     0.687     0.287     0.122     0.130
CAN  1974     1.935     0.825     0.660     0.261     0.096     0.095
CAN  1975     1.903     0.800     0.656     0.268     0.098     0.080
CAN  1976     2.021     0.848     0.718     0.292     0.097     0.066
CAN  1977     1.999     0.900     0.690     0.279     0.078     0.052
CAN  1978     1.901     0.859     0.667     0.256     0.074     0.046
CAN  1979     1.878     0.811     0.673     0.273     0.080     0.041
CAN  1980     1.873     0.827     0.664     0.270     0.074     0.038
CAN  1981     1.799     0.800     0.635     0.256     0.070     0.037
CAN  1982     1.800     0.827     0.613     0.254     0.073     0.033
CAN  1983     1.863     0.865     0.638     0.259     0.069     0.032
CAN  1984     1.819     0.807     0.648     0.258     0.074     0.032
CAN  1985     1.776     0.762     0.649     0.257     0.077     0.031
CAN  1986     1.765     0.763     0.644     0.257     0.068     0.033
CAN  1987     1.759     0.774     0.633     0.250     0.069     0.034
CAN  1988     1.716     0.756     0.604     0.253     0.072     0.031
CAN  1989     1.749     0.787     0.604     0.254     0.073     0.031
CAN  1990     1.793     0.814     0.620     0.252     0.072     0.035
CAN  1991     1.813     0.839     0.616     0.251     0.071     0.035
CAN  1992     1.893     0.882     0.650     0.247     0.079     0.035
CAN  1993     1.829     0.830     0.645     0.243     0.076     0.035
CAN  1994     1.838     0.826     0.654     0.249     0.070     0.038
CAN  1995     1.930     0.885     0.679     0.251     0.075     0.041
CAN  1996     1.937     0.899     0.677     0.246     0.075     0.039
CAN  1997     1.744     0.789     0.613     0.235     0.070     0.037
CAN  1998     1.743     0.785     0.629     0.224     0.068     0.037
CAN  1999     1.820     0.846     0.640     0.229     0.066     0.039
CAN  2000     1.817     0.838     0.639     0.232     0.071     0.037
CAN  2001     1.858     0.836     0.684     0.231     0.069     0.038
CAN  2002     1.820     0.873     0.615     0.225     0.066     0.040
CAN  2003     1.859     0.891     0.631     0.225     0.069     0.043
CAN  2004     1.762     0.787     0.646     0.219     0.071     0.040
CAN  2005     1.706     0.750     0.628     0.221     0.066     0.041
CAN  2006     1.725     0.753     0.624     0.232     0.072     0.044
CAN  2007     1.747     0.760     0.614     0.251     0.077     0.045
CAN  2008     1.802     0.792     0.635     0.248     0.077     0.050
CAN  2009     1.879     0.851     0.638     0.249     0.088     0.052
CAN  2010     1.883     0.862     0.629     0.250     0.088     0.055
CAN  2011     1.859     0.839     0.642     0.246     0.079     0.053
CAN  2012     1.856     0.838     0.649     0.244     0.076     0.049
CAN  2013     1.792     0.811     0.629     0.230     0.076     0.047
CAN  2014     1.798     0.822     0.613     0.233     0.078     0.052
CAN  2015     1.758     0.788     0.604     0.233     0.081     0.052
CHL  1993     2.319     0.854     0.755     0.439     0.166     0.105
CHL  1994     2.244     0.811     0.728     0.410     0.180     0.116
CHL  1995     2.436     0.891     0.782     0.438     0.206     0.119
CHL  1996     2.396     0.951     0.747     0.425     0.174     0.098
CHL  1997     2.282     0.927     0.709     0.396     0.151     0.098
CHL  1998     2.350     0.960     0.735     0.398     0.163     0.094
CHL  1999     2.363     0.960     0.754     0.409     0.162     0.078
CHL  2000     2.307     0.912     0.759     0.403     0.155     0.078
CHL  2001     2.285     0.924     0.745     0.386     0.145     0.085
CHL  2002     2.318     1.018     0.713     0.362     0.150     0.076
CHL  2003     2.336     0.991     0.752     0.381     0.140     0.072
CHL  2004     2.067     0.839     0.699     0.351     0.116     0.062
HRV  2003     1.708     0.855     0.590     0.166     0.060     0.038
HRV  2004     1.692     0.839     0.584     0.175     0.052     0.042
HRV  2005     1.794     0.827     0.637     0.230     0.058     0.043
HRV  2006     1.769     0.815     0.642     0.219     0.056     0.038
HRV  2007     1.730     0.858     0.582     0.198     0.057     0.036
HRV  2008     1.872     0.949     0.619     0.211     0.063     0.030
HRV  2009     2.040     1.038     0.697     0.222     0.056     0.026
HRV  2010     1.912     0.970     0.659     0.192     0.054     0.036
HRV  2011     1.724     0.848     0.584     0.197     0.056     0.039
HRV  2012     1.798     0.867     0.637     0.208     0.052     0.034
HRV  2013     1.735     0.837     0.619     0.196     0.050     0.033
HRV  2014     1.661     0.811     0.569     0.202     0.047     0.032
HRV  2015     1.644     0.777     0.587     0.205     0.043     0.032
HRV  2016     1.739     0.769     0.650     0.219     0.055     0.046
CZE  1951     2.484     0.960     0.723     0.395     0.189     0.217
CZE  1952     2.555     0.980     0.752     0.402     0.205     0.215
CZE  1953     2.438     0.888     0.733     0.411     0.198     0.208
CZE  1954     2.403     0.874     0.768     0.371     0.182     0.207
CZE  1955     2.352     0.868     0.748     0.358     0.183     0.196
CZE  1956     2.274     0.875     0.693     0.355     0.175     0.175
CZE  1957     2.239     0.936     0.666     0.308     0.156     0.172
CZE  1958     2.097     0.917     0.663     0.276     0.110     0.131
CZE  1959     1.994     0.888     0.686     0.249     0.083     0.088
CZE  1960     2.118     0.952     0.722     0.263     0.090     0.092
CZE  1961     2.078     0.940     0.714     0.248     0.089     0.087
CZE  1962     2.100     0.906     0.757     0.275     0.085     0.077
CZE  1963     2.462     0.977     0.911     0.380     0.103     0.091
CZE  1964     2.419     0.971     0.838     0.386     0.127     0.097
CZE  1965     2.087     0.864     0.726     0.299     0.105     0.092
CZE  1966     1.899     0.815     0.678     0.241     0.084     0.081
CZE  1967     1.890     0.874     0.644     0.222     0.074     0.076
CZE  1968     1.860     0.873     0.618     0.215     0.080     0.073
CZE  1969     1.897     0.873     0.649     0.220     0.082     0.073
CZE  1970     2.077     0.973     0.747     0.233     0.060     0.065
CZE  1971     2.072     1.003     0.732     0.223     0.061     0.053
CZE  1972     2.032     0.952     0.753     0.208     0.069     0.050
CZE  1973     2.250     0.945     0.925     0.258     0.070     0.053
CZE  1974     2.310     0.955     0.935     0.302     0.072     0.045
CZE  1975     2.266     0.963     0.895     0.302     0.069     0.037
CZE  1976     2.243     0.987     0.837     0.306     0.072     0.040
CZE  1977     2.199     0.970     0.825     0.296     0.070     0.039
CZE  1978     2.207     0.967     0.844     0.302     0.064     0.029
CZE  1979     2.138     0.947     0.813     0.285     0.063     0.030
CZE  1980     2.054     0.926     0.778     0.255     0.060     0.035
CZE  1981     2.006     0.896     0.769     0.251     0.059     0.032
CZE  1982     1.973     0.870     0.770     0.242     0.064     0.027
CZE  1983     1.978     0.887     0.759     0.251     0.058     0.024
CZE  1984     2.034     0.943     0.768     0.246     0.053     0.025
CZE  1985     2.098     0.964     0.800     0.249     0.058     0.027
CZE  1986     2.076     0.956     0.777     0.256     0.059     0.027
CZE  1987     2.012     0.928     0.763     0.241     0.056     0.023
CZE  1988     2.052     0.937     0.785     0.249     0.057     0.024
CZE  1989     1.952     0.908     0.729     0.233     0.057     0.026
CZE  1990     1.926     0.877     0.742     0.227     0.056     0.024
CZE  1991     1.926     0.927     0.726     0.196     0.053     0.023
CZE  1992     1.867     0.904     0.707     0.186     0.049     0.021
CZE  1993     2.036     0.961     0.774     0.225     0.050     0.025
CZE  1994     2.078     1.000     0.758     0.241     0.053     0.026
CZE  1995     1.968     0.897     0.776     0.215     0.056     0.024
CZE  1996     1.782     0.813     0.718     0.172     0.055     0.025
CZE  1997     1.708     0.800     0.662     0.168     0.051     0.027
CZE  1998     1.629     0.737     0.650     0.168     0.041     0.034
CZE  1999     1.644     0.754     0.661     0.165     0.039     0.025
CZE  2000     1.777     0.856     0.662     0.190     0.046     0.021
CZE  2001     1.699     0.806     0.626     0.197     0.046     0.024
CZE  2002     1.632     0.784     0.617     0.164     0.041     0.026
CZE  2003     1.697     0.861     0.630     0.147     0.036     0.024
CZE  2004     1.773     0.918     0.628     0.165     0.039     0.023
CZE  2005     1.801     0.920     0.652     0.168     0.042     0.019
CZE  2006     1.752     0.893     0.631     0.168     0.039     0.020
CZE  2007     1.833     0.858     0.709     0.192     0.048     0.026
CZE  2008     1.811     0.870     0.700     0.181     0.038     0.023
CZE  2009     1.718     0.868     0.652     0.149     0.031     0.018
CZE  2010     1.779     0.885     0.678     0.162     0.036     0.018
CZE  2011     1.636     0.823     0.611     0.146     0.038     0.018
CZE  2012     1.619     0.846     0.590     0.128     0.034     0.021
CZE  2013     1.587     0.817     0.574     0.141     0.035     0.020
CZE  2014     1.641     0.815     0.596     0.172     0.035     0.024
CZE  2015     1.651     0.818     0.609     0.165     0.034     0.026
CZE  2016     1.674     0.835     0.621     0.160     0.039     0.019
CZE  2017     1.775     0.927     0.613     0.168     0.046     0.020
DNK  1969     2.200     0.979     0.713     0.306     0.123     0.079
DNK  1970     2.223     1.056     0.703     0.311     0.097     0.056
DNK  1971     2.107     0.891     0.737     0.333     0.098     0.047
DNK  1972     2.129     0.821     0.799     0.335     0.115     0.059
DNK  1973     2.058     0.815     0.789     0.309     0.099     0.047
DNK  1974     1.878     0.793     0.685     0.279     0.080     0.041
DNK  1975     1.999     0.871     0.703     0.291     0.086     0.047
DNK  1976     1.887     0.835     0.680     0.265     0.075     0.033
DNK  1977     1.818     0.846     0.632     0.241     0.068     0.031
DNK  1978     1.966     0.913     0.718     0.242     0.065     0.028
DNK  1979     1.840     0.860     0.701     0.210     0.049     0.020
DNK  1980     1.758     0.857     0.623     0.214     0.045     0.019
DNK  1981     1.701     0.801     0.632     0.204     0.047     0.016
DNK  1982     1.780     0.815     0.702     0.193     0.054     0.016
DNK  1983     1.735     0.809     0.654     0.211     0.045     0.015
DNK  1984     1.747     0.807     0.661     0.218     0.046     0.016
DNK  1985     1.740     0.783     0.669     0.221     0.050     0.017
DNK  1986     1.748     0.823     0.644     0.221     0.046     0.014
DNK  1987     1.781     0.858     0.653     0.203     0.051     0.016
DNK  1988     1.810     0.829     0.688     0.229     0.047     0.016
DNK  1989     1.801     0.817     0.674     0.233     0.055     0.022
DNK  1990     1.925     0.922     0.672     0.254     0.056     0.020
DNK  1991     1.946     0.934     0.694     0.250     0.051     0.017
DNK  1992     1.989     0.898     0.747     0.256     0.068     0.020
DNK  1993     2.034     0.903     0.766     0.267     0.076     0.023
DNK  1994     2.061     0.904     0.794     0.275     0.068     0.020
DNK  1995     2.004     0.884     0.751     0.282     0.061     0.026
DNK  1996     1.944     0.873     0.701     0.280     0.066     0.024
DNK  1997     1.974     0.830     0.752     0.287     0.078     0.027
DNK  1998     1.926     0.801     0.743     0.285     0.069     0.028
DNK  1999     1.924     0.850     0.705     0.268     0.071     0.030
DNK  2000     1.905     0.850     0.697     0.259     0.067     0.032
DNK  2001     1.963     0.895     0.708     0.259     0.071     0.030
DNK  2002     2.071     0.946     0.734     0.273     0.081     0.038
DNK  2003     1.999     0.907     0.718     0.274     0.063     0.037
DNK  2004     1.949     0.852     0.728     0.279     0.061     0.029
DNK  2005     1.959     0.832     0.753     0.273     0.072     0.029
DNK  2006     2.067     0.880     0.782     0.287     0.089     0.029
DNK  2007     1.980     0.831     0.743     0.305     0.068     0.033
DNK  2008     2.000     0.900     0.714     0.293     0.064     0.030
DNK  2009     2.042     0.956     0.713     0.272     0.076     0.025
DNK  2010     2.085     0.957     0.734     0.291     0.069     0.034
DNK  2011     1.892     0.851     0.712     0.248     0.059     0.023
DNK  2012     1.866     0.840     0.714     0.239     0.052     0.021
DNK  2013     1.848     0.851     0.686     0.240     0.050     0.022
DNK  2014     1.808     0.822     0.676     0.229     0.058     0.023
DNK  2015     1.803     0.825     0.685     0.220     0.053     0.021
EST  1960     1.788     0.868     0.590     0.193     0.064     0.073
EST  1961     1.765     0.873     0.590     0.177     0.054     0.072
EST  1962     1.858     0.914     0.643     0.189     0.053     0.059
EST  1963     1.846     0.991     0.567     0.167     0.075     0.047
EST  1964     1.822     0.943     0.569     0.172     0.085     0.054
EST  1965     1.836     0.894     0.646     0.183     0.065     0.048
EST  1966     1.798     0.876     0.640     0.186     0.048     0.048
EST  1967     1.678     0.850     0.553     0.170     0.058     0.046
EST  1968     1.810     0.896     0.648     0.173     0.053     0.040
EST  1969     1.899     0.935     0.673     0.178     0.060     0.053
EST  1970     1.932     0.954     0.675     0.193     0.056     0.053
EST  1971     2.044     0.976     0.736     0.231     0.052     0.049
EST  1972     2.078     1.018     0.710     0.215     0.075     0.060
EST  1973     1.925     0.956     0.657     0.188     0.066     0.058
EST  1974     1.832     0.906     0.649     0.180     0.047     0.050
EST  1975     1.854     0.919     0.650     0.183     0.049     0.052
EST  1976     1.895     0.914     0.672     0.200     0.065     0.043
EST  1977     1.849     0.907     0.634     0.197     0.060     0.051
EST  1978     1.801     0.903     0.621     0.177     0.052     0.048
EST  1979     1.795     0.915     0.614     0.167     0.054     0.046
EST  1980     1.926     0.984     0.648     0.179     0.066     0.048
EST  1981     2.195     1.114     0.741     0.233     0.049     0.058
EST  1982     2.182     1.069     0.757     0.238     0.061     0.057
EST  1983     2.150     0.983     0.859     0.197     0.066     0.044
EST  1984     2.049     0.954     0.782     0.208     0.051     0.053
EST  1985     2.099     0.948     0.756     0.271     0.065     0.059
EST  1986     2.215     0.991     0.799     0.248     0.121     0.054
EST  1987     2.208     1.014     0.804     0.253     0.074     0.063
EST  1988     1.980     0.868     0.716     0.263     0.065     0.068
EST  1989     1.919     0.814     0.666     0.291     0.098     0.049
EST  1990     1.871     0.888     0.597     0.268     0.068     0.051
EST  1991     1.746     0.906     0.514     0.206     0.056     0.064
EST  1992     1.728     0.920     0.515     0.166     0.071     0.055
EST  1993     1.509     0.770     0.496     0.140     0.057     0.046
EST  1994     1.611     0.798     0.496     0.218     0.058     0.040
EST  1995     1.765     0.821     0.603     0.238     0.066     0.037
EST  1996     1.946     0.857     0.701     0.243     0.084     0.061
EST  1997     1.787     0.845     0.627     0.198     0.055     0.062
EST  1998     1.550     0.789     0.470     0.179     0.056     0.055
EST  1999     1.735     0.778     0.617     0.214     0.083     0.043
EST  2000     1.855     0.816     0.645     0.281     0.070     0.043
EST  2001     1.809     0.895     0.545     0.254     0.064     0.051
EST  2002     1.914     0.888     0.711     0.194     0.078     0.042
EST  2003     1.693     0.799     0.595     0.187     0.072     0.040
EST  2004     1.913     0.908     0.623     0.277     0.067     0.038
EST  2005     1.982     0.908     0.674     0.275     0.068     0.057
EST  2006     1.869     0.867     0.633     0.252     0.066     0.051
EST  2007     2.084     1.028     0.689     0.259     0.068     0.040
EST  2008     2.251     1.225     0.675     0.227     0.083     0.041
EST  2009     2.041     1.089     0.626     0.233     0.059     0.034
EST  2010     1.985     0.902     0.728     0.239     0.071     0.045
EST  2011     1.888     0.744     0.769     0.249     0.075     0.050
EST  2012     1.705     0.667     0.675     0.265     0.060     0.038
EST  2013     1.647     0.677     0.590     0.295     0.050     0.035
EST  2014     2.003     1.016     0.637     0.248     0.071     0.031
EST  2015     2.292     1.226     0.711     0.233     0.094     0.028
EST  2016     1.984     0.922     0.678     0.280     0.066     0.037
FIN  1983     1.976     0.821     0.732     0.302     0.082     0.040
FIN  1984     1.930     0.808     0.674     0.326     0.072     0.050
FIN  1985     1.874     0.799     0.671     0.285     0.069     0.050
FIN  1986     1.849     0.782     0.684     0.262     0.082     0.040
FIN  1987     1.782     0.767     0.627     0.263     0.078     0.047
FIN  1988     1.764     0.753     0.619     0.268     0.072     0.052
FIN  1989     1.806     0.730     0.643     0.297     0.088     0.049
FIN  1990     1.884     0.766     0.638     0.328     0.098     0.055
FIN  1991     1.853     0.823     0.591     0.301     0.082     0.057
FIN  1992     1.956     0.872     0.634     0.293     0.094     0.062
FIN  1993     1.945     0.873     0.659     0.277     0.085     0.051
FIN  1994     2.104     0.887     0.711     0.332     0.109     0.066
FIN  1995     2.093     0.848     0.712     0.325     0.125     0.084
FIN  1996     1.952     0.790     0.678     0.313     0.107     0.065
FIN  1997     1.940     0.794     0.682     0.310     0.091     0.064
FIN  1998     1.813     0.699     0.655     0.302     0.085     0.072
FIN  1999     1.790     0.704     0.623     0.302     0.098     0.064
FIN  2000     1.799     0.750     0.593     0.281     0.109     0.067
FIN  2001     1.851     0.783     0.602     0.291     0.100     0.074
FIN  2002     1.929     0.850     0.639     0.282     0.086     0.073
FIN  2003     1.929     0.844     0.645     0.274     0.091     0.076
FIN  2004     1.880     0.798     0.636     0.275     0.091     0.079
FIN  2005     1.916     0.835     0.641     0.267     0.098     0.074
FIN  2006     1.945     0.854     0.622     0.285     0.100     0.083
FIN  2007     1.935     0.839     0.633     0.277     0.090     0.096
FIN  2008     1.939     0.818     0.672     0.264     0.090     0.095
FIN  2009     1.950     0.834     0.658     0.274     0.091     0.093
FIN  2010     2.021     0.890     0.652     0.283     0.103     0.094
FIN  2011     1.984     0.820     0.668     0.292     0.104     0.100
FIN  2012     1.947     0.780     0.686     0.295     0.092     0.094
FIN  2013     1.846     0.753     0.646     0.266     0.087     0.093
FIN  2014     1.869     0.800     0.616     0.274     0.087     0.092
FIN  2015     1.957     0.852     0.648     0.271     0.089     0.097
FIN  2016     1.809     0.774     0.591     0.244     0.113     0.087
FIN  2017     1.640     0.691     0.566     0.231     0.079     0.073
